SbjNum,Area,Sex,Ethnicity,Age,Status,SchoolYrs
15997400,Urban,Female,Indigenous,19,Single,10
15997401,Urban,Male,Indigenous,22,Married,8
15997402,Urban,Female,Indigenous,21,Married,6
15997403,Urban,Male,Indigenous,20,Single,10
16006016,Urban,Female,Indigenous,20,Single,4
16006017,Urban,Male,Indigenous,22,Married,11
16006018,Urban,Female,Indigenous,22,Single,12
16006025,Urban,Female,Indigenous,15,Single,7
16006026,Urban,Female,Indigenous,17,Single,9
16006027,Urban,Male,Indigenous,23,Married,9
16006028,Urban,Female,Indigenous,15,Single,8
16006029,Urban,Male,Non-indigenous,17,Single,5
16006032,Urban,Male,Indigenous,18,Single,8
16006033,Urban,Female,Indigenous,17,Single,9
16006034,Urban,Male,Indigenous,19,Single,11
16006035,Urban,Male,Indigenous,18,Single,10
16006036,Urban,Male,Indigenous,18,Single,10
16006037,Urban,Female,Indigenous,15,Single,8
16006038,Urban,Male,Indigenous,15,Single,10
16006039,Urban,Male,Indigenous,15,Single,8
16006040,Urban,Female,Indigenous,17,Single,11
16006139,Urban,Female,Indigenous,21,Single,12
16006140,Urban,Female,Indigenous,15,Single,5
16006141,Urban,Male,Indigenous,17,Single,9
16006142,Urban,Female,Indigenous,23,Single,3
16006143,Urban,Female,Indigenous,17,Single,11
16006144,Urban,Female,Indigenous,24,Single,12
16035448,Rural,Female,Non-indigenous,18,Single,2
16035449,Rural,Male,Indigenous,22,Married,6
16035450,Urban,Female,Indigenous,18,Single,3
16035451,Rural,Male,Non-indigenous,21,Married,9
16035452,Rural,Male,Indigenous,18,Single,6
16035453,Rural,Male,Indigenous,21,Married,12
16035454,Rural,Male,Indigenous,23,Single,9
16035455,Rural,Male,Non-indigenous,15,Single,6
16035462,Rural,Male,Indigenous,18,Single,9
16035463,Rural,Male,Indigenous,16,Single,6
16035464,Rural,Female,Indigenous,20,Single,9
16035465,Rural,Female,Indigenous,15,Single,7
16035466,Rural,Female,Indigenous,19,Single,9
16035467,Rural,Male,Indigenous,22,Married,6
16035468,Rural,Male,Indigenous,20,Single,9
16035469,Urban,Male,Indigenous,16,Single,7
16035470,Urban,Female,Indigenous,20,Married,6
16035471,Rural,Male,Indigenous,23,Single,6
16035472,Rural,Female,Indigenous,24,Married,0
16035587,Rural,Female,Indigenous,22,Single,0
16035588,Rural,Male,Indigenous,19,Single,9
16035589,Rural,Female,Indigenous,16,Single,9
16035590,Rural,Female,Indigenous,17,Single,9
16035591,Rural,Female,Indigenous,23,Married,9
16035592,Rural,Male,Indigenous,23,Married,6
16035593,Rural,Male,Non-indigenous,17,Single,6
16035594,Rural,Female,Indigenous,15,Single,6
16035595,Rural,Female,Indigenous,15,Single,6
16035596,Rural,Male,Indigenous,21,Single,12
16035597,Rural,Female,Indigenous,20,Single,6
16035648,Rural,Female,Non-indigenous,16,Single,7
16035649,Rural,Male,Indigenous,15,Single,6
16035650,Rural,Male,Indigenous,15,Single,7
16035651,Rural,Male,Indigenous,20,Single,6
16035652,Rural,Female,Indigenous,20,Single,6
16035653,Rural,Male,Non-indigenous,20,Single,12
